combo,learning_rate,batch_size,dropout_rate,epochs,accuracy,time
1,0.01,50,0.2,10,0.9069878458976746,2562.0899271965027
2,0.01,50,0.5,10,0.8245654106140137,1445.9363853931427
3,0.01,100,0.2,10,0.858220636844635,1721.093073606491
4,0.01,100,0.5,10,0.9078741073608398,2815.047237634659
5,0.01,1000,0.2,10,0.88653564453125,2539.503536462784
6,0.01,1000,0.5,10,0.8260197639465332,1721.9667596817017
7,0.001,50,0.2,10,0.9401658773422241,2810.952791452408
8,0.001,50,0.5,10,0.9490966796875,2818.261452436447
9,0.001,100,0.2,10,0.9492330551147461,2548.2254745960236
10,0.001,100,0.5,10,0.9242585897445679,2560.640269756317
11,0.001,1000,0.2,10,0.9397568702697754,2819.772390127182
12,0.001,1000,0.5,10,0.9313941597938538,1454.2717261314392
